DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,CANCELLED,DIVERTED
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,10408,1040805,30408,"Appleton, WI",Wisconsin,1434,-5.00,-5.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,11977,1197705,31977,"Green Bay, WI",Wisconsin,1510,-5.00,-2.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0857,-1.00,-4.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1230,-3.00,0.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1543,-3.00,4.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1854,-6.00,25.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,2257,-14.00,-5.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,0920,-4.00,-8.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,1453,-5.00,-5.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,2115,-10.00,-10.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,10397,1039707,30397,"Atlanta, GA",Georgia,1640,-3.00,-26.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,10466,1046602,30466,"Phoenix, AZ",Arizona,1957,102.00,80.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11057,1105703,31057,"Charlotte, NC",North Carolina,0500,-5.00,-20.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11292,1129202,30325,"Denver, CO",Colorado,0845,-3.00,11.00,0.00,0.00
1,3,12/1/2021 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,0635,-2.00,-4.00,0.00,0.00
