DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,CANCELLED,DIVERTED
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,10408,1040805,30408,"Appleton, WI",Wisconsin,2139,-3.00,-11.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,11977,1197705,31977,"Green Bay, WI",Wisconsin,2115,-4.00,-17.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0900,-2.00,-10.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0955,33.00,20.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1215,-3.00,-8.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1639,-8.00,-10.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1955,-2.00,6.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,2257,-5.00,-8.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,0940,-3.00,-16.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,1627,-3.00,-13.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,2239,-3.00,-12.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,10397,1039707,30397,"Atlanta, GA",Georgia,0530,196.00,164.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11057,1105703,31057,"Charlotte, NC",North Carolina,0706,-5.00,-8.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11292,1129202,30325,"Denver, CO",Colorado,0838,-9.00,28.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,0640,-5.00,2.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,1800,-11.00,-48.00,0.00,0.00
1,4,12/1/2022 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11697,1169706,32467,"Fort Lauderdale, FL",Florida,1436,10.00,-13.00,0.00,0.00
