DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,CANCELLED,DIVERTED
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,10408,1040805,30408,"Appleton, WI",Wisconsin,1811,-4.00,-2.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,11977,1197705,31977,"Green Bay, WI",Wisconsin,1352,8.00,8.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,11977,1197705,31977,"Green Bay, WI",Wisconsin,2011,-5.00,-1.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0826,-2.00,-1.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1010,-3.00,-2.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1215,16.00,19.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1435,-2.00,-4.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1607,-2.00,-9.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1830,-1.00,-3.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,2123,22.00,16.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,1105,-3.00,-5.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,1815,-6.00,-7.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,10397,1039707,30397,"Atlanta, GA",Georgia,0600,-5.00,-10.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11057,1105703,31057,"Charlotte, NC",North Carolina,0700,-7.00,-11.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,0705,-5.00,10.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,1100,-5.00,-9.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,1720,-7.00,2.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,0605,-4.00,-4.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,1305,-5.00,-10.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,1730,-5.00,-27.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13930,1393007,30977,"Chicago, IL",Illinois,1132,-10.00,-40.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13930,1393007,30977,"Chicago, IL",Illinois,1551,50.00,30.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13930,1393007,30977,"Chicago, IL",Illinois,1730,-18.00,-34.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10693,1069302,30693,"Nashville, TN",Tennessee,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1045,0.00,-6.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10693,1069302,30693,"Nashville, TN",Tennessee,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1955,-4.00,-7.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10821,1082106,30852,"Baltimore, MD",Maryland,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0845,0.00,-21.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,10821,1082106,30852,"Baltimore, MD",Maryland,13342,1334207,33342,"Milwaukee, WI",Wisconsin,2005,37.00,21.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11057,1105703,31057,"Charlotte, NC",North Carolina,10408,1040805,30408,"Appleton, WI",Wisconsin,2015,13.00,1.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11057,1105703,31057,"Charlotte, NC",North Carolina,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0944,-7.00,3.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11057,1105703,31057,"Charlotte, NC",North Carolina,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1445,-8.00,-3.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11057,1105703,31057,"Charlotte, NC",North Carolina,13342,1334207,33342,"Milwaukee, WI",Wisconsin,2045,-5.00,-10.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11057,1105703,31057,"Charlotte, NC",North Carolina,13485,1348502,33485,"Madison, WI",Wisconsin,1135,-4.00,-12.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11057,1105703,31057,"Charlotte, NC",North Carolina,13485,1348502,33485,"Madison, WI",Wisconsin,2035,-9.00,-16.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11203,1120302,30424,"Mosinee, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,0700,-5.00,-5.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11203,1120302,30424,"Mosinee, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,0615,-5.00,-7.00,0.00,0.00
1,2,12/1/2020 12:00:00 AM,11203,1120302,30424,"Mosinee, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,1510,-5.00,-17.00,0.00,0.00
