DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN_CITY_NAME,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST_CITY_NAME,DEST_STATE_NM,CRS_DEP_TIME,DEP_DELAY,ARR_DELAY,CANCELLED,DIVERTED
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,10408,1040805,30408,"Appleton, WI",Wisconsin,1504,4.00,-1.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,10408,1040805,30408,"Appleton, WI",Wisconsin,1959,78.00,97.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,11977,1197705,31977,"Green Bay, WI",Wisconsin,1540,-4.00,-4.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,11977,1197705,31977,"Green Bay, WI",Wisconsin,2059,15.00,15.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0755,7.00,-6.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,0834,-2.00,-15.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1056,22.00,14.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1256,0.00,-11.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1455,4.00,11.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1615,-3.00,-13.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1644,-4.00,-10.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,1959,-5.00,-13.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13342,1334207,33342,"Milwaukee, WI",Wisconsin,2309,-1.00,-3.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,0908,-3.00,-16.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,1340,0.00,-8.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,1645,51.00,38.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10397,1039707,30397,"Atlanta, GA",Georgia,13485,1348502,33485,"Madison, WI",Wisconsin,2125,-1.00,-4.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,10397,1039707,30397,"Atlanta, GA",Georgia,0545,18.00,62.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,10397,1039707,30397,"Atlanta, GA",Georgia,1655,10.00,22.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11292,1129202,30325,"Denver, CO",Colorado,0600,-5.00,6.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11292,1129202,30325,"Denver, CO",Colorado,1730,73.00,42.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,0639,43.00,64.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,1054,140.00,174.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,1313,23.00,49.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,11433,1143302,31295,"Detroit, MI",Michigan,1714,74.00,85.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,0627,11.00,26.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,1204,28.00,75.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,1433,116.00,161.00,0.00,0.00
1,7,12/1/2019 12:00:00 AM,10408,1040805,30408,"Appleton, WI",Wisconsin,13487,1348702,31650,"Minneapolis, MN",Minnesota,1725,25.00,-5.00,0.00,0.00
