Code,Description
11697,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
11699,"Florence, SC: Florence Regional"
11721,"Flint, MI: Bishop International"
11725,"Fort Dodge, IA: Fort Dodge Regional"
11775,"Sioux Falls, SD: Joe Foss Field"
11778,"Fort Smith, AR: Fort Smith Regional"
11823,"Fort Wayne, IN: Fort Wayne International"
11865,"Gillette, WY: Northeast Wyoming Regional"
11867,"Garden City, KS: Garden City Regional"
11884,"Spokane, WA: Spokane International"
11898,"Grand Forks, ND: Grand Forks International"
11905,"Longview, TX: East Texas Regional"
11921,"Grand Junction, CO: Grand Junction Regional"
11953,"Gainesville, FL: Gainesville Regional"
11973,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
11977,"Green Bay, WI: Green Bay Austin Straubel International"
11980,"Grand Island, NE: Central Nebraska Regional"
11982,"Killeen, TX: Robert Gray AAF"
11986,"Grand Rapids, MI: Gerald R. Ford International"
11995,"Greensboro/High Point, NC: Piedmont Triad International"
11996,"Greer, SC: Greenville-Spartanburg International"
12003,"Great Falls, MT: Great Falls International"
12007,"Columbus, MS: Golden Triangle Regional"
12012,"Gunnison, CO: Gunnison-Crested Butte Regional"
12016,"Guam, TT: Guam International"
12094,"Hayden, CO: Yampa Valley"
12119,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
12124,"Hilton Head, SC: Hilton Head Airport"
12129,"Hibbing, MN: Range Regional"
12156,"Helena, MT: Helena Regional"
12173,"Honolulu, HI: Daniel K Inouye International"
12177,"Hobbs, NM: Lea County Regional"
12191,"Houston, TX: William P Hobby"
12197,"White Plains, NY: Westchester County"
12206,"Harlingen/San Benito, TX: Valley International"
12217,"Huntsville, AL: Huntsville International-Carl T Jones Field"
12223,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
12244,"New Haven, CT: Tweed New Haven"
12250,"Hyannis, MA: Cape Cod Gateway"
12255,"Hays, KS: Hays Regional"
12264,"Washington, DC: Washington Dulles International"
12265,"Niagara Falls, NY: Niagara Falls International"
12266,"Houston, TX: George Bush Intercontinental/Houston"
12278,"Wichita, KS: Wichita Dwight D Eisenhower National"
12280,"Idaho Falls, ID: Idaho Falls Regional"
12323,"Wilmington, NC: Wilmington International"
12335,"Iron Mountain/Kingsfd, MI: Ford"
12339,"Indianapolis, IN: Indianapolis International"
12343,"International Falls, MN: Falls International Einarson Field"
12365,"Williamsport, PA: Williamsport Regional"
12389,"Williston, ND: Sloulin Field International"
12391,"Islip, NY: Long Island MacArthur"
12397,"Ithaca/Cortland, NY: Ithaca Tompkins International"
12402,"Hilo, HI: Hilo International"
12441,"Jackson, WY: Jackson Hole"
12448,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
12451,"Jacksonville, FL: Jacksonville International"
12478,"New York, NY: John F. Kennedy International"
12492,"Kapalua, HI: Kapalua Airport"
12511,"Joplin, MO: Joplin Regional"
12519,"Jamestown, ND: Jamestown Regional"
12523,"Juneau, AK: Juneau International"
12544,"Concord, NC: Concord Padgett Regional"
12559,"Johnstown, PA: John Murtha Johnstown-Cambria County"
12758,"Kona, HI: Ellison Onizuka Kona International at Keahole"
12819,"Ketchikan, AK: Ketchikan International"
12884,"Lansing, MI: Capital Region International"
12888,"Laramie, WY: Laramie Regional"
12889,"Las Vegas, NV: Harry Reid International"
12891,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
12892,"Los Angeles, CA: Los Angeles International"
12896,"Lubbock, TX: Lubbock Preston Smith International"
12898,"Latrobe, PA: Arnold Palmer Regional"
12899,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
12902,"Liberal, KS: Liberal Mid-America Regional"
12915,"Lake Charles, LA: Lake Charles Regional"
12917,"Columbus, OH: Rickenbacker International"
12945,"Lexington, KY: Blue Grass"
12951,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
12953,"New York, NY: LaGuardia"
12954,"Long Beach, CA: Long Beach Airport"
12982,"Lihue, HI: Lihue Airport"
12992,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
13029,"Lincoln, NE: Lincoln Airport"
13034,"Lanai, HI: Lanai Airport"
13061,"Laredo, TX: Laredo International"
13076,"La Crosse, WI: La Crosse Regional"
13121,"Lewisburg, WV: Greenbrier Valley"
13127,"Lewiston, ID: Lewiston Nez Perce County"
13139,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
13158,"Midland/Odessa, TX: Midland International Air and Space Port"
13184,"Saginaw/Bay City/Midland, MI: MBS International"
13198,"Kansas City, MO: Kansas City International"
13204,"Orlando, FL: Orlando International"
13211,"Mason City, IA: Mason City Municipal"
13230,"Harrisburg, PA: Harrisburg International"
13232,"Chicago, IL: Chicago Midway International"
13241,"Meridian, MS: Key Field"
13244,"Memphis, TN: Memphis International"
13256,"Mission/McAllen/Edinburg, TX: McAllen International"
13264,"Medford, OR: Rogue Valley International - Medford"
13277,"Montgomery, AL: Montgomery Regional"
13290,"Manhattan/Ft. Riley, KS: Manhattan Regional"
13296,"Manchester, NH: Manchester Boston Regional"
13303,"Miami, FL: Miami International"
13342,"Milwaukee, WI: General Mitchell International"
13344,"Muskegon, MI: Muskegon County"
13347,"Hoolehua, HI: Molokai"
13360,"Melbourne, FL: Melbourne Orlando International"
13367,"Moline, IL: Quad Cities International"
13377,"Monroe, LA: Monroe Regional"
13388,"Mammoth Lakes, CA: Mammoth Lakes Airport"
13422,"Mobile, AL: Mobile Regional"
13433,"Minot, ND: Minot International"
13459,"Marquette, MI: Marquette Sawyer Regional"
13476,"Monterey, CA: Monterey Regional"
13485,"Madison, WI: Dane County Regional-Truax Field"
13486,"Missoula, MT: Missoula Montana"
13487,"Minneapolis, MN: Minneapolis-St Paul International"
13495,"New Orleans, LA: Louis Armstrong New Orleans International"
13502,"Montrose/Delta, CO: Montrose Regional"
13541,"Martha's Vineyard, MA: Martha's Vineyard Airport"
13577,"Myrtle Beach, SC: Myrtle Beach International"
13795,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
13796,"Oakland, CA: Metro Oakland International"
13830,"Kahului, HI: Kahului Airport"
13832,"Ogdensburg, NY: Ogdensburg International"
13851,"Oklahoma City, OK: Will Rogers World"
13871,"Omaha, NE: Eppley Airfield"
13873,"Nome, AK: Nome Airport"
13891,"Ontario, CA: Ontario International"
13930,"Chicago, IL: Chicago O'Hare International"
13931,"Norfolk, VA: Norfolk International"
13933,"Worcester, MA: Worcester Regional"
13964,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
13970,"Kotzebue, AK: Ralph Wien Memorial"
14004,"Everett, WA: Snohomish County"
14006,"Paducah, KY: Barkley Regional"
14025,"Plattsburgh, NY: Plattsburgh International"
14027,"West Palm Beach/Palm Beach, FL: Palm Beach International"
14057,"Portland, OR: Portland International"
14082,"Punta Gorda, FL: Punta Gorda Airport"
14092,"Greenville, NC: Pitt Greenville"
14098,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
14100,"Philadelphia, PA: Philadelphia International"
14107,"Phoenix, AZ: Phoenix Sky Harbor International"
14108,"Peoria, IL: General Downing - Peoria International"
14109,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
14112,"St. Petersburg, FL: St Pete Clearwater International"
14113,"Pocatello, ID: Pocatello Regional"
14120,"Pierre, SD: Pierre Regional"
14122,"Pittsburgh, PA: Pittsburgh International"
14150,"Pellston, MI: Pellston Regional Airport of Emmet County"
14193,"Pensacola, FL: Pensacola International"
14222,"Pago Pago, TT: Pago Pago International"
14231,"Presque Isle/Houlton, ME: Presque Isle International"
14237,"Prescott, AZ: Prescott Regional Ernest A Love Field"
14252,"Pasco/Kennewick/Richland, WA: Tri Cities"
14254,"Ponce, PR: Mercedita"
14256,"Petersburg, AK: Petersburg James A Johnson"
14259,"Portsmouth, NH: Portsmouth International at Pease"
14262,"Palm Springs, CA: Palm Springs International"
14288,"Pueblo, CO: Pueblo Memorial"
14303,"Pullman, WA: Pullman Moscow Regional"
14307,"Providence, RI: Rhode Island Tf Green International"
14314,"Provo, UT: Provo Municipal"
14321,"Portland, ME: Portland International Jetport"
14457,"Rapid City, SD: Rapid City Regional"
14487,"Redding, CA: Redding Regional"
14489,"Bend/Redmond, OR: Roberts Field"
14492,"Raleigh/Durham, NC: Raleigh-Durham International"
14512,"Rockford, IL: Chicago/Rockford International"
14520,"Rhinelander, WI: Rhinelander/Oneida County"
14524,"Richmond, VA: Richmond International"
14534,"Riverton/Lander, WY: Central Wyoming Regional"
14543,"Rock Springs, WY: Southwest Wyoming Regional"
14570,"Reno, NV: Reno/Tahoe International"
14574,"Roanoke, VA: Roanoke Blacksburg Regional"
14576,"Rochester, NY: Frederick Douglass Grtr Rochester International"
14588,"Roswell, NM: Roswell Air Center"
14633,"Rochester, MN: Rochester International"
14635,"Fort Myers, FL: Southwest Florida International"
14674,"Santa Fe, NM: Santa Fe Municipal"
14679,"San Diego, CA: San Diego International"
14683,"San Antonio, TX: San Antonio International"
14685,"Savannah, GA: Savannah/Hilton Head International"
14689,"Santa Barbara, CA: Santa Barbara Municipal"
14696,"South Bend, IN: South Bend International"
14698,"San Luis Obispo, CA: San Luis County Regional"
14704,"Salisbury, MD: Salisbury-Ocean City/Wicomico Regional"
14709,"Deadhorse, AK: Deadhorse Airport"
14711,"State College, PA: University Park"
14716,"Stockton, CA: Stockton Metro"
14730,"Louisville, KY: Louisville Muhammad Ali International"
14747,"Seattle, WA: Seattle/Tacoma International"
14761,"Sanford, FL: Orlando Sanford International"
14771,"San Francisco, CA: San Francisco International"
14783,"Springfield, MO: Springfield-Branson National"
14794,"St. George, UT: St George Regional"
14802,"Staunton, VA: Shenandoah Valley Regional"
14812,"Sheridan, WY: Sheridan County"
14814,"Shreveport, LA: Shreveport Regional"
14828,"Sitka, AK: Sitka Rocky Gutierrez"
14831,"San Jose, CA: Norman Y. Mineta San Jose International"
14842,"San Angelo, TX: San Angelo Regional/Mathis Field"
