OP_CARRIER_AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_TIME_BUCKET,p,lambda
,,,,0.35367876883252763,0.024522888420934065
19393,,,,0.40084867822234543,0.03275660296238996
19687,,,,0.34594172655967603,0.04129939546686187
19690,,,,0.4270888846865742,0.04609340888372686
19790,,,,0.2934364977203632,0.025762347070903358
19805,,,,0.3792030200305328,0.02086030681634465
19930,,,,0.37755656427429735,0.03549003413389862
19977,,,,0.34546335602230577,0.023432867255769867
20046,,,,0.3230097554926913,0.01762925108773233
20225,,,,0.540595399188092,0.028692498294250728
20237,,,,0.38550239866203073,0.017948899223662464
20253,,,,0.2719881744271988,0.04466019417475728
20263,,,,0.38784313725490194,0.029454247636065817
20304,,,,0.317779907433807,0.021969473535724468
20363,,,,0.2491209736237658,0.02143255503808645
20366,,,,0.33660623102322323,0.019853716565175487
20368,,,,0.4397417544391881,0.0208750017439189
20378,,,,0.35456860755945907,0.019470457099667663
20397,,,,0.34579822990181397,0.023992307093689963
20398,,,,0.3501483001205831,0.028092034769435913
20409,,,,0.4303381259950341,0.019011155077282585
20416,,,,0.3954819898263141,0.022511839841605027
20427,,,,0.2863436700404328,0.02385342324394771
20436,,,,0.44013249603201987,0.019542259681552928
20445,,,,0.3598832081461363,0.01838964884664039
20452,,,,0.28602099203821435,0.025153909168559873
20500,,,,0.3126353326234698,0.019516212245276693
21167,,,,0.32505495132882306,0.023843874655806015
21171,,,,0.3694980469888649,0.03091782726407961
,10135,,,0.28447737584814553,0.018018018018018018
,10136,,,0.3435198417060569,0.024725252988788582
,10140,,,0.3337872653662127,0.02632312220267846
,10141,,,0.2180365296803653,0.015398258626249597
,10146,,,0.26650312221231043,0.01831557973791095
,10154,,,0.362432915921288,0.014034552986325662
,10155,,,0.33003300330033003,0.02471215950575681
,10157,,,0.32807287657172185,0.015109435567741325
,10158,,,0.30758464409490804,0.021403990464441084
,10170,,,0.2870493991989319,0.0316213672196729
,10185,,,0.2977225672877847,0.01870311215624252
,10208,,,0.327313769751693,0.022480016934548566
,10245,,,0.3964165733482643,0.030019079923680306
,10257,,,0.30999971074021576,0.020944485485238994
,10268,,,0.32771164021164023,0.018704465667585216
,10275,,,0.3265993265993266,0.037421527022761546
,10279,,,0.31722778400525686,0.020883483040280922
,10299,,,0.3392615985539465,0.03348827479704309
,10333,,,0.2490075784915193,0.012862575497725747
,10361,,,0.21822849807445444,0.012483248581866245
,10372,,,0.40477873128049807,0.014864540877487413
,10397,,,0.3352324654843773,0.02890597322201977
,10408,,,0.3172606568832984,0.018533431802240787
,10409,,,0.32503113325031135,0.015159435441714584
,10423,,,0.376046769278375,0.02499704775185615
,10431,,,0.35566341102922083,0.020766204975166153
,10434,,,0.29549793681098724,0.01833607215194711
,10466,,,0.3822893349015442,0.027261240932985938
,10469,,,0.26149991050653304,0.018327332940276227
,10529,,,0.32941981678424764,0.02192698364675257
,10551,,,0.5342621552459482,0.03851909554949673
,10558,,,0.3096121416526138,0.018290496114763896
,10561,,,0.2925260960334029,0.018053816142781308
,10577,,,0.26784343821949347,0.015086346640153889
,10581,,,0.30786217240948294,0.018735832120452968
,10599,,,0.33169727089987544,0.023061621695775567
,10617,,,0.3394216133942161,0.010982516621521792
,10620,,,0.2982232964423525,0.02255106294289287
,10627,,,0.30997165678948724,0.01855141656951461
,10631,,,0.2133867276887872,0.015619111427494661
,10666,,,0.3270718232044199,0.03379067759726592
,10676,,,0.48474001507159004,0.017954837269022497
,10685,,,0.29910923581809656,0.017643480024335835
,10693,,,0.36145415518835966,0.026472095697766027
,10713,,,0.3078705421562564,0.029942371940764836
,10721,,,0.3418832742018881,0.02219419634163037
,10728,,,0.3012236396771674,0.019972035697640295
,10731,,,0.2710538426138978,0.019664797008547008
,10732,,,0.4556900726392252,0.01842215513764737
,10739,,,0.2078294080203692,0.01803070466092335
,10747,,,0.27701075614063253,0.018953519664757217
,10754,,,0.4673507462686567,0.03233822817492335
,10779,,,0.16614615865084323,0.01996022961767906
,10781,,,0.29732187973724106,0.019245823638825713
,10785,,,0.31073807999620645,0.01884443064110749
,10792,,,0.3184553143157519,0.02106689418862713
,10800,,,0.3502958393407234,0.03082550539838059
,10821,,,0.41852821608213325,0.0281091645597738
,10849,,,0.34390305161371343,0.022344340276927846
,10868,,,0.3019016332762689,0.023203960142530993
,10874,,,0.32894145156938576,0.019268051121577055
,10918,,,0.19312436804853386,0.01951236123408023
,10926,,,0.31996434937611407,0.03484083850931677
,10967,,,0.25808249721293197,0.01668769147594161
,10980,,,0.31084601672836965,0.02198375510077423
,10990,,,0.2809903397959873,0.019209188268055805
,10994,,,0.33158847539835706,0.02207192203236071
,11003,,,0.33318782587607615,0.020024018911978265
,11013,,,0.27071005917159763,0.01266821731184582
,11027,,,0.36448298008991653,0.014197615801258397
,11042,,,0.31249343385579,0.02238787247113167
,11049,,,0.3154475769780434,0.019186698907907005
,11057,,,0.3787069640778618,0.025950582567233683
,11066,,,0.3166897323858247,0.02440473075827701
,11067,,,0.28482282148428795,0.02117524252943077
,11076,,,0.3018292682926829,0.011853022520742789
,11092,,,0.2854858056777289,0.01527566804304572
,11097,,,0.42070484581497797,0.01693893116231221
,11109,,,0.3409549186230736,0.021286544449065383
,11111,,,0.3507641126936272,0.01691999859585074
,11122,,,0.3415460425007699,0.019873246082993352
,11140,,,0.29151117570805674,0.02209051724137931
,11146,,,0.34873769790329484,0.01903138427050252
,11150,,,0.3194989435556897,0.022718248645168214
,11193,,,0.3339679222821091,0.023210390110920152
,11203,,,0.27178329571106097,0.017881117302505734
,11233,,,0.2032520325203252,0.010327834990704948
,11252,,,0.25748828363784554,0.02108148988466629
,11259,,,0.4263970618012355,0.03059634700910029
,11267,,,0.2982389596315362,0.020203305550525394
,11274,,,0.24246913580246915,0.025077889575565657
,11278,,,0.336994098052175,0.02248748555174936
,11283,,,0.2740447957839262,0.011308240155125859
,11288,,,0.24189696349368817,0.008508953002736306
,11292,,,0.4101662106436082,0.025789998431621976
,11298,,,0.4056213290371674,0.0229861412235926
,11308,,,0.2548613984278031,0.02056212030175579
,11315,,,0.28776223776223775,0.013811969254522875
,11336,,,0.4362377380265436,0.029793103448275862
,11337,,,0.2653458340704051,0.01771960497093985
,11413,,,0.35575533793546316,0.019271352705178452
,11415,,,0.2564575645756458,0.017222864695192467
,11423,,,0.3173901847309001,0.021192664286586938
,11433,,,0.29415310337137235,0.02419809001136612
,11445,,,0.3010752688172043,0.02173702086365842
,11447,,,0.2553835800807537,0.011031014737086882
,11468,,,0.2397596941561988,0.01384290354113455
,11470,,,0.40706012134583563,0.03900531169895087
,11471,,,0.2777498744349573,0.01635852684514125
,11481,,,0.3227953410981697,0.022237829418999863
,11503,,,0.3545369504209542,0.015462154282611901
,11525,,,0.20913956360642239,0.015249302074265302
,11537,,,0.2663301208505431,0.015933884902621175
,11540,,,0.3290382619277712,0.023528217395644136
,11577,,,0.29107266435986157,0.019063417817904927
,11587,,,0.2856689917564997,0.01631448385753345
,11603,,,0.31760176283991576,0.024158032877469263
,11612,,,0.28135898301271234,0.020855483424435356
,11617,,,0.24053609217023278,0.020977515302512996
,11618,,,0.37599701860895224,0.020319120559106948
,11624,,,0.40242769031458586,0.020717853543957835
,11630,,,0.31240188383045525,0.03212743343782373
,11637,,,0.3140335224013766,0.01870565592222395
,11638,,,0.3236015522038366,0.023522915516289343
,11641,,,0.27985005837890986,0.01986564299424184
,11648,,,0.340893381717643,0.02322480766174367
,11695,,,0.2856520792510342,0.01592242671375433
,11697,,,0.41131494901199056,0.022061392381762853
,11699,,,0.27535140562248994,0.026345493407622662
,11721,,,0.3577216813385414,0.020315795398485586
,11725,,,0.2195504443282802,0.010485058791222508
,11775,,,0.33546779552030864,0.018994840551655925
,11778,,,0.36618257261410786,0.0211643383895917
,11823,,,0.3269825761276665,0.018306602775893632
,11865,,,0.26674535261138976,0.013682250911897807
,11867,,,0.3158977372906259,0.020024961347167632
,11884,,,0.30733521857674256,0.030559508500062487
,11898,,,0.23460081380665077,0.016958607609059467
,11905,,,0.34157363104731525,0.023317425465894864
,11921,,,0.30819576047670216,0.021027095295062463
,11953,,,0.30301277669698723,0.021200048558153908
,11973,,,0.2861628637220013,0.02077294502463653
,11977,,,0.2559818152815441,0.018933595259374623
,11980,,,0.3788958147818344,0.017373729124984687
,11982,,,0.3601593625498008,0.02257328827554061
,11986,,,0.3130444736992731,0.020664098452572926
,11995,,,0.2781733721247971,0.02078891193962975
,11996,,,0.2955432918834023,0.023284802043422734
,12003,,,0.2928379186602871,0.021896259691764168
,12007,,,0.19973486522315512,0.019955409372861527
,12012,,,0.392278360343184,0.01602492333154846
,12016,,,0.2351478995774298,0.03288718929254302
,12094,,,0.3606436781609195,0.01739222981512441
,12119,,,0.5364308342133052,0.01959120709602777
,12124,,,0.3593009203309473,0.020950894139712378
,12129,,,0.16844143272023232,0.013486281196713688
,12156,,,0.26492241476950956,0.023025052911355023
,12173,,,0.3791578793710793,0.042509261835380945
,12177,,,0.27213822894168466,0.015517878402233261
,12191,,,0.4107728724640307,0.03171819725656784
,12197,,,0.3487159608489195,0.01722183934451336
,12206,,,0.31875713741910927,0.024375422994913146
,12217,,,0.3159109191752403,0.02219667176353695
,12223,,,0.39162112932604737,0.01992602515818652
,12244,,,0.26150121065375304,0.017270788912579958
,12250,,,0.46386333771353483,0.01492600422832981
,12255,,,0.291632597437994,0.014029475009178161
,12264,,,0.3258383849768282,0.02122197273952451
,12265,,,0.47751605995717344,0.019149191955621963
,12266,,,0.3552652870660452,0.02276963646093365
,12278,,,0.30707440251322227,0.020457065197954292
,12280,,,0.3129019629774621,0.018390328560722598
,12323,,,0.29245724385299166,0.020446768803595083
,12335,,,0.23884126514927578,0.014888794707844258
,12339,,,0.32585965443500314,0.025125169857092046
,12343,,,0.1933534743202417,0.011985268107950644
,12365,,,0.2695035460992908,0.016701199221447856
,12389,,,0.33313919627256844,0.020389976116636368
,12391,,,0.34467514012789136,0.021691769200768107
,12397,,,0.2862376358529735,0.01842405187659658
,12402,,,0.3483332768150836,0.05188927055970903
,12441,,,0.37170826422879333,0.017291115087810414
,12448,,,0.29243394221024793,0.022956456272908432
,12451,,,0.3335897210501641,0.021396336607379877
,12478,,,0.3445256027219176,0.0202272114253146
,12492,,,0.29258675078864355,0.05159226811291893
,12511,,,0.30568581477139506,0.014741007702635856
,12519,,,0.2330173775671406,0.011247950585274717
,12523,,,0.31747179635522127,0.03203304000116749
,12544,,,0.4976185075980948,0.0180322344683614
,12559,,,0.21763754045307443,0.01145265667574932
,12758,,,0.3309869581017241,0.03723161053361473
,12819,,,0.33353998760074394,0.032430570505920346
,12884,,,0.2963081094011642,0.01914773020044314
